portfolio_uuid,portfolio_name,asset_name,portfolio_weight
ef123f1b-02d9-4b17-b4e2-e0a69b6f2436,Grid_058,US Equities - US Stock Market,0.24750000000000003
ef123f1b-02d9-4b17-b4e2-e0a69b6f2436,Grid_058,Foreign Developed Equities - Intl Developed ex-US Market,0.09000000000000002
ef123f1b-02d9-4b17-b4e2-e0a69b6f2436,Grid_058,Emerging Market Equities - Emerging Markets,0.11249999999999999
ef123f1b-02d9-4b17-b4e2-e0a69b6f2436,Grid_058,US Treasuries - Intermediate Term Treasury,0.2
ef123f1b-02d9-4b17-b4e2-e0a69b6f2436,Grid_058,TIPS - Inflation-Protected Bonds,0.23
ef123f1b-02d9-4b17-b4e2-e0a69b6f2436,Grid_058,Corporate Bonds - Investment Grade Corporate Bonds,0.06999999999999998
ef123f1b-02d9-4b17-b4e2-e0a69b6f2436,Grid_058,Real Estate/REITs - US REIT,0.05
8d106e1e-be1c-43de-9369-d5f9dd4deabf,Grid_059,US Equities - US Stock Market,0.23375
8d106e1e-be1c-43de-9369-d5f9dd4deabf,Grid_059,Foreign Developed Equities - Intl Developed ex-US Market,0.085
8d106e1e-be1c-43de-9369-d5f9dd4deabf,Grid_059,Emerging Market Equities - Emerging Markets,0.10624999999999997
8d106e1e-be1c-43de-9369-d5f9dd4deabf,Grid_059,US Treasuries - Intermediate Term Treasury,0.2
8d106e1e-be1c-43de-9369-d5f9dd4deabf,Grid_059,TIPS - Inflation-Protected Bonds,0.23
8d106e1e-be1c-43de-9369-d5f9dd4deabf,Grid_059,Corporate Bonds - Investment Grade Corporate Bonds,0.06999999999999998
8d106e1e-be1c-43de-9369-d5f9dd4deabf,Grid_059,Real Estate/REITs - US REIT,0.075
53874f1e-aa38-48a5-a798-a5e35050050b,Grid_060,US Equities - US Stock Market,0.22000000000000003
53874f1e-aa38-48a5-a798-a5e35050050b,Grid_060,Foreign Developed Equities - Intl Developed ex-US Market,0.08000000000000002
53874f1e-aa38-48a5-a798-a5e35050050b,Grid_060,Emerging Market Equities - Emerging Markets,0.09999999999999998
53874f1e-aa38-48a5-a798-a5e35050050b,Grid_060,US Treasuries - Intermediate Term Treasury,0.2
53874f1e-aa38-48a5-a798-a5e35050050b,Grid_060,TIPS - Inflation-Protected Bonds,0.23
53874f1e-aa38-48a5-a798-a5e35050050b,Grid_060,Corporate Bonds - Investment Grade Corporate Bonds,0.06999999999999998
53874f1e-aa38-48a5-a798-a5e35050050b,Grid_060,Real Estate/REITs - US REIT,0.1
4fa23131-d8d5-43fd-8464-dc1e9a0ffa00,Grid_061,US Equities - US Stock Market,0.24750000000000003
4fa23131-d8d5-43fd-8464-dc1e9a0ffa00,Grid_061,Foreign Developed Equities - Intl Developed ex-US Market,0.09000000000000002
4fa23131-d8d5-43fd-8464-dc1e9a0ffa00,Grid_061,Emerging Market Equities - Emerging Markets,0.11249999999999999
4fa23131-d8d5-43fd-8464-dc1e9a0ffa00,Grid_061,US Treasuries - Intermediate Term Treasury,0.2
4fa23131-d8d5-43fd-8464-dc1e9a0ffa00,Grid_061,TIPS - Inflation-Protected Bonds,0.2
4fa23131-d8d5-43fd-8464-dc1e9a0ffa00,Grid_061,Corporate Bonds - Investment Grade Corporate Bonds,0.09999999999999998
4fa23131-d8d5-43fd-8464-dc1e9a0ffa00,Grid_061,Real Estate/REITs - US REIT,0.05
60c5f3ec-9db8-4d27-8dc7-9f10ead62fbf,Grid_062,US Equities - US Stock Market,0.23375
60c5f3ec-9db8-4d27-8dc7-9f10ead62fbf,Grid_062,Foreign Developed Equities - Intl Developed ex-US Market,0.085
60c5f3ec-9db8-4d27-8dc7-9f10ead62fbf,Grid_062,Emerging Market Equities - Emerging Markets,0.10624999999999997
60c5f3ec-9db8-4d27-8dc7-9f10ead62fbf,Grid_062,US Treasuries - Intermediate Term Treasury,0.2
60c5f3ec-9db8-4d27-8dc7-9f10ead62fbf,Grid_062,TIPS - Inflation-Protected Bonds,0.2
60c5f3ec-9db8-4d27-8dc7-9f10ead62fbf,Grid_062,Corporate Bonds - Investment Grade Corporate Bonds,0.09999999999999998
60c5f3ec-9db8-4d27-8dc7-9f10ead62fbf,Grid_062,Real Estate/REITs - US REIT,0.075
7f298d73-9709-40b3-b945-c26bc09845fa,Grid_063,US Equities - US Stock Market,0.22000000000000003
7f298d73-9709-40b3-b945-c26bc09845fa,Grid_063,Foreign Developed Equities - Intl Developed ex-US Market,0.08000000000000002
7f298d73-9709-40b3-b945-c26bc09845fa,Grid_063,Emerging Market Equities - Emerging Markets,0.09999999999999998
