portfolio_uuid,portfolio_name,metric_name,metric_value,table_source
ef123f1b-02d9-4b17-b4e2-e0a69b6f2436,Grid_058,Start Balance,10000.0,Portfolio Performance (Jan 2003 - Nov 2025)
ef123f1b-02d9-4b17-b4e2-e0a69b6f2436,Grid_058,End Balance,51493.25,Portfolio Performance (Jan 2003 - Nov 2025)
ef123f1b-02d9-4b17-b4e2-e0a69b6f2436,Grid_058,End Balance (inflation adjusted),28679.58,Portfolio Performance (Jan 2003 - Nov 2025)
ef123f1b-02d9-4b17-b4e2-e0a69b6f2436,Grid_058,Annualized Return (CAGR),0.07413333305567393,Portfolio Performance (Jan 2003 - Nov 2025)
ef123f1b-02d9-4b17-b4e2-e0a69b6f2436,Grid_058,"Annualized Return (CAGR, inflation adjusted)",0.047048536844292776,Portfolio Performance (Jan 2003 - Nov 2025)
ef123f1b-02d9-4b17-b4e2-e0a69b6f2436,Grid_058,Standard Deviation,0.08657087301191065,Portfolio Performance (Jan 2003 - Nov 2025)
ef123f1b-02d9-4b17-b4e2-e0a69b6f2436,Grid_058,Best Year,0.2245855469474507,Portfolio Performance (Jan 2003 - Nov 2025)
ef123f1b-02d9-4b17-b4e2-e0a69b6f2436,Grid_058,Worst Year,-0.1849792653646345,Portfolio Performance (Jan 2003 - Nov 2025)
ef123f1b-02d9-4b17-b4e2-e0a69b6f2436,Grid_058,Maximum Drawdown,-0.28931397438059947,Portfolio Performance (Jan 2003 - Nov 2025)
ef123f1b-02d9-4b17-b4e2-e0a69b6f2436,Grid_058,Sharpe Ratio,0.6799914704432439,Portfolio Performance (Jan 2003 - Nov 2025)
ef123f1b-02d9-4b17-b4e2-e0a69b6f2436,Grid_058,Sortino Ratio,1.0060703640682418,Portfolio Performance (Jan 2003 - Nov 2025)
8d106e1e-be1c-43de-9369-d5f9dd4deabf,Grid_059,Start Balance,10000.0,Portfolio Performance (Jan 2003 - Nov 2025)
8d106e1e-be1c-43de-9369-d5f9dd4deabf,Grid_059,End Balance,51120.47,Portfolio Performance (Jan 2003 - Nov 2025)
8d106e1e-be1c-43de-9369-d5f9dd4deabf,Grid_059,End Balance (inflation adjusted),28471.96,Portfolio Performance (Jan 2003 - Nov 2025)
8d106e1e-be1c-43de-9369-d5f9dd4deabf,Grid_059,Annualized Return (CAGR),0.07379283245218926,Portfolio Performance (Jan 2003 - Nov 2025)
8d106e1e-be1c-43de-9369-d5f9dd4deabf,Grid_059,"Annualized Return (CAGR, inflation adjusted)",0.0467166221297024,Portfolio Performance (Jan 2003 - Nov 2025)
8d106e1e-be1c-43de-9369-d5f9dd4deabf,Grid_059,Standard Deviation,0.0871664357827243,Portfolio Performance (Jan 2003 - Nov 2025)
8d106e1e-be1c-43de-9369-d5f9dd4deabf,Grid_059,Best Year,0.22365177180823048,Portfolio Performance (Jan 2003 - Nov 2025)
